 ;2000;2003;2005;2007;2010;2013;2016
Govedo - SKUPAJ;499546;478331;461224;472363;472333;462066;486014
PRAŠIÈI - SKUPAJ;601953;607881;505161;544405;382031;287498;273359
PERUTINA - SKUPAJ;6731009;5133858;3292826;5364220;4900990;4858025;6222661
KONJI - SKUPAJ;14407;16879;19249;19623;22673;21832;19453
OVCE - SKUPAJ;96027;119631;131126;135887;137737;130657;134929
KOZE - SKUPAJ;29385;28690;30826;34593;34864;34542;38564
KUNCI - SKUPAJ;180274;138953;130106;115572;85088;96218;109753
JELENJAD - SKUPAJ;4189;5551;4513;4803;7341;9745;8790
